id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Bassline Prophets,hip hop,energetic,0.85,95,0.65,0.88,0.08
12,Moonlit Sonata Dreams,Elena Voss,classical,peaceful,0.20,66,0.55,0.15,0.95
13,Old Porch Stories,Willow Creek,folk,nostalgic,0.33,84,0.58,0.35,0.82
14,Iron Revolt,Grave Circuit,metal,angry,0.97,168,0.25,0.45,0.03
15,Velvet Whisper,Sable & Wine,r&b,romantic,0.55,88,0.70,0.68,0.30
16,Neon Horizon,Pulse Theory,house,euphoric,0.88,126,0.80,0.90,0.05
17,Backroad Sunset,Dusty Miles,country,warm,0.50,100,0.72,0.55,0.60
18,Island Sway,Tide & Tamarind,reggae,laid-back,0.45,78,0.75,0.70,0.40
19,Rainy Window Blues,Delta Hollow,blues,melancholic,0.38,68,0.30,0.40,0.55
20,Broken Curfew,Static Riot,punk,rebellious,0.95,175,0.55,0.60,0.05
21,Hooked,Notion,edm,happy,0.79,128.0,0.85,0.78,0.14
22,Sun Chaser,No Mana,edm,angry,0.92,128.0,0.06,0.72,0.0
23,Symphonica - Suedes Dubstep Remix,Nicky Romero,edm,warm,0.97,70.0,0.69,0.48,0.0
24,Destination,DubVision,edm,moody,0.76,127.0,0.51,0.69,0.04
25,"Body on My (feat. Brando, Pitbull & Nicky Jam)",Loud Luxury,edm,laid-back,0.73,122.0,0.69,0.74,0.04
26,Soldiers - Original Mix,Mike Hawkins,edm,angry,0.94,128.0,0.19,0.47,0.0
27,Scared To Be Lonely - Brooks Remix,Martin Garrix,edm,angry,0.8,128.0,0.23,0.6,0.01
28,Cause 2 - Original Mix,Tensal,edm,angry,0.77,127.0,0.04,0.69,0.04
29,Storm (feat. Kyra Mastro),Famba,edm,moody,0.72,122.0,0.29,0.75,0.04
30,Burn Break Crash,Aanysa,edm,moody,0.74,122.0,0.4,0.78,0.07
31,We found another earth,Diskay,edm,angry,0.74,111.0,0.04,0.71,0.62
32,Cruise,Clément Leroux,edm,angry,0.58,122.1,0.3,0.63,0.32
33,Part Of Me (Club Remix) (feat. Kareem),LittleKings,edm,intense,0.75,124.0,0.62,0.76,0.01
34,We Found Love - Sidney Samson Remix,Sultan + Shepard,edm,angry,0.96,130.0,0.36,0.63,0.0
35,Recoil,K3L,edm,moody,0.97,128.0,0.39,0.75,0.0
36,Fireflies - Radio Edit,John Dahlbäck,edm,angry,0.79,128.1,0.16,0.6,0.0
37,Falling For You,Anaesthesia,edm,laid-back,0.56,85.0,0.7,0.75,0.9
38,So Close - Curbi Remix,NOTD,edm,angry,0.88,128.1,0.12,0.64,0.04
39,Emotions Attached,Stan Kolev,edm,moody,0.57,123.0,0.38,0.81,0.1
40,Believe,Kosling,edm,melancholic,0.84,128.0,0.33,0.42,0.17
41,Feather,Lost Kings,edm,moody,0.63,141.0,0.43,0.76,0.3
42,I Was Born To Love You,Timeless Legend,edm,laid-back,0.81,117.6,0.88,0.66,0.02
43,Wonderful Days,Cuebrick,edm,angry,0.63,138.1,0.4,0.5,0.09
44,Funeral March - Original Mix,Black Tiger Sex Machine,edm,angry,0.89,180.1,0.22,0.46,0.0
45,The Stars Are Mine,Chocolate Puma,edm,moody,0.78,126.0,0.36,0.67,0.0
46,Dreamboy,Ballin Entertainment,latin,laid-back,0.56,127.6,0.73,0.74,0.05
47,Fireflies - Live From Spotify NYC,Owl City,latin,nostalgic,0.53,153.7,0.7,0.4,0.55
48,MALA SANTA,Becky G,latin,intense,0.7,98.0,0.53,0.85,0.31
49,Abrázame Muy Fuerte,Juan Gabriel,latin,angry,0.39,135.7,0.31,0.52,0.69
50,Goza,Henry Mendez,latin,energetic,0.9,95.0,0.65,0.79,0.1
51,Feel It,Dualities,latin,energetic,0.88,122.0,0.68,0.84,0.1
52,Te Quiero Ver,Ceaese,latin,moody,0.84,90.0,0.55,0.77,0.41
53,Quisiera - Unplugged,Pasabordo,latin,moody,0.6,144.8,0.53,0.72,0.72
54,Celebration (feat. Ky-Mani Marley),Maffio,latin,happy,0.81,94.0,0.84,0.72,0.11
55,On The Streets of Dún Laoghaire - Boonz Remix,Broken Legacy,latin,moody,0.45,100.7,0.39,0.62,0.04
56,Turn the Beat Around,Gloria Estefan,latin,moody,0.8,130.0,0.54,0.73,0.01
57,Corazon de Acero,Yiyo Sarante,latin,laid-back,0.66,83.7,0.94,0.58,0.53
58,Más Claro Que el Agua,Donny Caballero,latin,happy,0.82,196.0,0.85,0.74,0.42
59,Mi Dios es grande (feat. T-Bone),Josue Del Cid,latin,laid-back,0.96,90.1,0.87,0.62,0.01
60,Atrévete,Nicky Jam,latin,chill,0.68,183.8,0.59,0.55,0.31
61,De Tranquilote,Danny Romero,latin,laid-back,0.67,79.9,0.89,0.68,0.1
62,Bae - KVR Remix,Marcus & Martinus,latin,laid-back,0.56,102.0,0.68,0.76,0.08
63,I Want You,Shana,latin,happy,0.81,119.6,0.83,0.74,0.24
64,Tiburon,Proyecto Uno,latin,euphoric,0.85,130.2,0.91,0.87,0.2
65,Hey Lady,Central Coast Clique,latin,energetic,0.45,92.0,0.69,0.9,0.41
66,Joy - Original Mix,Mizbee,latin,angry,0.56,94.3,0.41,0.57,0.01
67,Cuerpo en Venta,Noriel,latin,moody,0.6,91.9,0.41,0.7,0.16
68,Fool Myself (feat. Welms),Lü,latin,angry,0.49,104.9,0.38,0.54,0.21
69,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,latin,intense,0.51,120.1,0.62,0.81,0.54
